Название вакансии,URL,Название комании,Описание
Junior Data Developer (Python),https://sergievposad.hh.ru/vacancy/31523007?query=python, DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...Уверенное владение python (3.*). Опыт разработки в среде linux. Высшее техническое образование. Опыт работы с библиотекой pandas. Владение С++ и..."
Программист C++/Python,https://sergievposad.hh.ru/vacancy/31708292?query=python,АО Интегрис,"Разработка алгоритмов для интеллектуальных транспортных систем. Анализ точности и потенциала прототипов. Реализация и оптимизация алгоритмов (компьютерное зрение, машинное обучение). Опыт работы программистом С++ или программистом-исследователем Python. Умение и желание разбираться в чужом коде. Знание базовых библиотек python как..."
Python-разработчик распределенной вычислительной системы,https://sergievposad.hh.ru/vacancy/31441611?query=python,ООО БОСТОНДЖИН,Анализ генетических данных пациента — основной инструмент для получения информации о заболевании и разработки персонализированного плана лечения. Современные методы секвенирования позволяют...Опыт разработки на Python от 1 года. Опыт построения и масштабирования веб-приложений на Python. Понимание базовых принципов построения распределенных...
"Full-stack разработчик (Python, JavaScript)",https://sergievposad.hh.ru/vacancy/29195763?query=python, LiteBox,"Активно участвовать во всех этапах разработки в составе Scrum-команды: от сбора и анализа требований до написания кода и выкатки...Отличное знание Python. Владение технологиями: HTML, CSS, JavaScript (jQuery). Понимание веб-стека, принципов REST и построения реляционных моделей данных. "
Python/Django разработчик,https://sergievposad.hh.ru/vacancy/31406169?query=python,ООО ИДАГРУПП,Разработка и проектирование проекта от идеи до воплощения. Поддержка существующих проектов и разработка новых.Знание Python 3.6+. Соблюдение PEP8. Уверенное знание Django 1.11+. Работа со стэком Celery / RabbitMQ. 
Python developer (Cloud Services),https://sergievposad.hh.ru/vacancy/31418541?query=python, IVIDEON,"Вместе с нами будут разрабатывать бекенд Ivideon. Проектировать архитектуру новых сервисов. Автотестить написанное - сейчас код покрыт 800 функциональными тестами. Опыт командной разработки. Желательно Python (писать нужно будет в основном на нём), но бэкграунд в Go/C++/Java тоже может..."
Разработчик Python,https://sergievposad.hh.ru/vacancy/31432060?query=python, GlobalCareer,"Основные задачи: Поддержка и развитие существующих инструментов мониторинга (сетевое приложение-прокси для Zabbix на Python 3.5+, asyncio). Понимание принципов asyncio, мультитрединга и мультипроцессинга (используется в скриптах автоматизации). Опыт в рефакторинге, декомпозиции, построении модульных приложений. Умение отлаживать асинхронный..."
Программист Python,https://sergievposad.hh.ru/vacancy/31651569?query=python," Insilico Medicine, Inc",Алгоритмическая подготовка.Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.
Ведущий разработчик C++/Python,https://sergievposad.hh.ru/vacancy/31904629?query=python, СОВЕТСКАЯ АПТЕКА,"...для аптечной сети на C++ с использованием встраиваемых скриптов на Python. Обязательное регламентное обновление модулей системы: новые отчеты, улучшение интерфейса...Высшее техническое образование. Опыт разработки программ автоматизации торговли и склада. Понимание принципов ООП - хорошее знание С++ / Python. Навыки построения пользовательского..."
Программист Python,https://sergievposad.hh.ru/vacancy/31891565?query=python, RU-CENTER Group,"Магазин доменов - сервис продажи доменов на вторичном рынке. Умный подбор доменных имён для главного сайта компании. Stand alone web-приложение...Знание python (версия 3). Знание django, django orm и django rest framework (опыт реализации 2-3 API на django rest..."
Senior программист Python,https://sergievposad.hh.ru/vacancy/30567902?query=python,ООО Строительный Двор,"качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. - поддержка и доработка уже существующих сайтов. - разработка концепции развития веб...опыт работы от 4+ года в разработке Python, или других языках. - опыт разработки на языках программирования JAVA и PYTHON..."
"Программист Python (Junior, Middle)",https://sergievposad.hh.ru/vacancy/31538442?query=python,ООО ЛЛЛ ТЕХНОЛОДЖИЗ,"Опыт оптимизации программ на C/C++/Python, замеров метрик производительности; знакомство с инструментарием для этого. Желание разбираться в финансовой индустрии..."
Python developer,https://sergievposad.hh.ru/vacancy/30005963?query=python, NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами...Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. "
Программист Python,https://sergievposad.hh.ru/vacancy/31593844?query=python,ООО АйПи Видео Системс,Разрабатывать программное обеспечение и сервисы.Понимание алгоритмов и структур данных. Отличное знание и опыт использования Python 3. Знание основных сетевых протоколов. Опыт создания многопоточных приложений. 
Разработчик Python/Django + React.js,https://sergievposad.hh.ru/vacancy/31844761?query=python, Ivelum,"Это вакансия для фуллстек-разработчиков уровня ""middle"" или ""senior"". Мы ожидаем, что у вас уже есть опыт в веб-разработке..."
