Название вакансии,URL,Название комании,Описание
Python разработчик,https://sergievposad.hh.ru/vacancy/29489627?query=python,ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ),"Написание Python кода. Разработка юнит-тестов. Непосредственное взаимодействие с разработчиками, тестировщиками и менеджером проектов в рамках деятельности scrum-команды. Уверенные знания языка Python. Понимание принципов ООП. Опыт работы с реляционными базами данных и хорошие знания SQL. Основные знания о..."
Junior/Middle Data Scientist (разработчик-математик),https://sergievposad.hh.ru/vacancy/31886591?query=python, Rambler Group,"Платформа торговли рекламой реального времени (RTB) - задачи, связанные с предсказанием CTR, CPA, postclick. Рекомендательные системы - разработка рекомендательной системы Рамблера, включает...Опыт работы с системами управления базами данных. Опыт написания высокопроизводительного кода на Python (Numpy/Cython/Numba). Опыт работы с библиотеками..."
Frontend-разработчик ExtJS,https://sergievposad.hh.ru/vacancy/31225130?query=python, Comagic,UIS (uiscom) — бизнес-телефония для персональной работы с каждым клиентом. Телефония UIS занимает 4-ое место в Москве на рынке...Опыт работы с ExtJS или подобным MVC/MVVM фреймворком. Знание SCSS. Знание SQL. Знание Python. Ведение разработки через тестирование (TDD). 
Frontend-разработчик,https://sergievposad.hh.ru/vacancy/31558792?query=python,ООО НТБ,Представление об архитектуре веб-приложений и уязвимость в них. Возможность самостоятельно определять план текущих задач (в рамках общего плана работ). Умение работать в команде. Будет плюсом: Базовые знания Python ( хорошие знания крайне сильно приветствуются). Умение разбираться в чужом коде. 
"Full-Stack Developer (React JS, Python, PostgreSQL)",https://sergievposad.hh.ru/vacancy/31908459?query=python, Diamond Personnel R&C,"Анализ требований и выработка архитектурных решений пользовательских интерфейсов (React JS), Backend сервисов (Python), схемы хранения данных в СУБД (PostgreSQL). Требуемый опыт. Опыт разработки Frontend (React JS). Опыт разработки Backend (Python), опыт разработки различных API (REST). Опыт разработки PostgreSQL. "
Data Engineer,https://sergievposad.hh.ru/vacancy/31882729?query=python, Coins.ph,"Build and maintain the organization’s data pipeline systems. Plan, build, deploy, and maintain scalable kappa-architectured machine learning infrastructure. Self-management and communications skills. General programming skills in Python. Python data-science tools and libraries (Jupyter, scikit-learn, numpy..."
Junior Data Scientist,https://sergievposad.hh.ru/vacancy/31912654?query=python,ООО Гудфокаст,"Исследование данных, поиск закономерностей, формулирование и проверка гипотез, обоснование результатов исследований. Разработка моделей в области прогнозирования спроса и оптимизации цепей...Хорошая алгоритмическая подготовка, умение разрабатывать алгоритмы. Навыки программирования (предпочтительно Matlab\R\Python, но готовы рассмотреть кандидатов с опытом разработки и..."
Senior Python-разработчик,https://sergievposad.hh.ru/vacancy/31868307?query=python, Raiffeisenbank,"Улучшение и развитие архитектуры продукта. Доработка ядра с возможной переработкой под актуальную версию python. Написание нового фронта (коллаборация с вендором). Опыт продуктовой разработки. Знание python, tornado framework. Опыт работы с высоконагруженными клиент-серверными системами. Опыт работы с асинхронным кодом. "
Ведущий Разработчик Python (облачные решения),https://sergievposad.hh.ru/vacancy/30915391?query=python, ТЕХНОСЕРВ,"Разработка веб-сервисов для управления облачными услугами. (мы создаем продукт, позволяющий клиенту заказать услугу, обработать заказ внутри нашей компании, развернуть...Профессиональный уровень владения Python 2 или 3 (от 3 лет, PEP8, SOLID, понимание внутренностей python). Опыт использования веб-фреймворков..."
DevOps Engineer,https://sergievposad.hh.ru/vacancy/31736267?query=python, BestDoctor,"Перевести существующую инфраструктуру на Kubernetes. Ускорить CI, сборку и деплой и улучшить его инструменты. Сделать сервисы быстрее и надёжнее. Опыт работы с системами управления конфигурацией Chef, Puppet, Ansible или Salt (мы используем Ansible). Знание bash/Python. Опыт администрирования PostgreSQL. "
Старший программист Python,https://sergievposad.hh.ru/vacancy/31429758?query=python," Компания «СПОРТМАСТЕР», Управление бизнесами","Разработка в соответствии с техническим заданием. Участие в разработке архитектуры решений, технического задания на доработки. Участие в проектировании и создании...Опыт программирования на Python от 2 лет. Опыт работы с Oracle. Опыт работы с Django. Опыт работы с системами контроля..."
Data engineer,https://sergievposad.hh.ru/vacancy/31818507?query=python, Flocktory,"Платформа основана на модулях, каждый из которых решает конкретные проблемы клиента. - Проектирование и реализация аналитического хранилища для нужд BI и...п.). - Знание или готовность изучить Python. - (желательно) опыт работы с Hadoop (прежде всего YARN и HDFS). - (желательно) опыт работы с..."
DevOps Engineer,https://sergievposad.hh.ru/vacancy/31825200?query=python, Improvado,"Тюнинг системы мониторинга (Prometheus + Cloudwatch + Grafana). Администрирование баз данных (Postgresql). On-call дежурства.Разработка и поддержка кастомных контроллеров kubernetes на Golang. Умение кодить на Go будет большим плюсом, но возможно и обучение в..."
Team Lead Python,https://sergievposad.hh.ru/vacancy/31916647?query=python, Тинькофф,"Проектирование архитектуры нового сервиса. Улучшение масштабируемости, производительности и надежности продукта. Управление командой разработки. Активное взаимодействие с другими командами. Захватить мир.Опыт работы в аналогичной роли в течение последнего года. Опыт разработки на Python в production от 3х лет. "
Аналитик - эконометрист / Data scientist,https://sergievposad.hh.ru/vacancy/31550514?query=python,ООО БСТ Менеджмент-Консалтинг,"Построение моделей эластичности спроса на банковские продукты и моделей прогнозирования в ритейле в тч с учётом гео-аналитических данных. Экономическое или техническое образование. (Предпочтительно ВШЭ, МГУ, МФТИ, Финансовый Университет, но главное - желание). Можно без опыта работы, главное – хорошая голова..."
Data Science AI специалист,https://sergievposad.hh.ru/vacancy/31722508?query=python,ООО Корпорация Медицинские электронные данные,"Решение задач из области машинного обучения по следующим тематикам:Кластеризация пользователей. Computer vision. Опыт практического использования python и пакетов numpy, pandas. Scikit-learn, gensim, xgboost, keras/tensorflow для решения..."
Программист С++,https://sergievposad.hh.ru/vacancy/31521672?query=python,ООО Финстарлабс,"Знание boost, cocos2d, bash, SQL, JSON, C#, Java, python. Умение работать в команде и читать чужой код, ответственность..."
Data Scientist (Big Data),https://sergievposad.hh.ru/vacancy/29845207?query=python, Платформа ОФД,"Решение исследовательских и прикладных задач в рамках создания и развития продуктов компании с применением современных методов статистического анализа и машинного...Знание и опыт решения реальных бизнес-задач, используя методы машинного обучения и статистического анализа. Опыт применения Python для обработки и..."
Devops-инженер,https://sergievposad.hh.ru/vacancy/26487079?query=python, Group-IB,"...и развитие нескольких крупных политик деплоя/обновлений (Ansible+Python). Контейнеризация приложений в Docker, поддержка существующих образов. Решение сопутствующих задачек на Python.Практический навык программирования на Python. Опыт использования git, Gitlab. Английский язык для беглого чтения документации. Широкий технический кругозор. "
Fullstack developer (Python + React/Vue),https://sergievposad.hh.ru/vacancy/31913859?query=python, DigitalHR,"Доработка и развитие внутренних инструментов. Разработка API и фронтенда для системы общения для клиентов и агентств.Опыт промышленной разработки на Python от 2-х лет. Живой опыт работы с SPA-фреймворками, React/Vue. Нужно не бояться..."
Data Scientist,https://sergievposad.hh.ru/vacancy/31110281?query=python, ID Finance,"Построение различных моделей машинного обучения (application, фрод, behavior, collection, отток, скидки) в режиме полного цикла, начиная от определения целевой переменной...Понимание метрик моделирования, умение интерпретировать результаты модели и объяснять их бизнес-заказчику. Отличное знание Python и библиотек sklearn, pandas, matplotlib..."
Специалист по тестированию,https://sergievposad.hh.ru/vacancy/31919003?query=python, BestDoctor,"Дизайн медицинской программы, обеспечение гибкости и настройки по наполнению и ограничениям. Органичное внедрение телемедицины в процессы обращения по страховым случаям......опыт, но хотелось бы понимание процесса автоматизации тестирования). Минимальные технические знания Git, SQL, bash/Python. Готовность развиваться в сторону автотестов."
Java/Go Team Lead,https://sergievposad.hh.ru/vacancy/31912663?query=python, Anchous Drive Recruitment,"Команда: За что нужно будет отвечать? За развитие backend платформы, команды, постановку задач и их своевременное выполнение. Выбор технологических решений...Ты можешь не только ясно и чётко сформулировать свои мысли, но и коммуницировать, так чтобы их могли услышать и осознать..."
Middle C++ Software Developer (Machine Learning),https://sergievposad.hh.ru/vacancy/30384662?query=python, ABBYY,"Анализ документов, поиск и извлечение структуры таблиц. Поиск различных объектов в документе (печати, подписи, логотипы). Разработка признаков для обучения классификаторов......опыт работы или учебные проекты/онлайн курсы). Будет большим плюсом. Уже имеете небольшой опыт работы (от 1 года). Знание Python."
Разработчик Python на проект Customer Data Platform (CDP),https://sergievposad.hh.ru/vacancy/30166934?query=python, Rambler Group,"Создание и развитие продуктов, основанных на обработке данных. Разработка веб-приложений и API (Python, Flask, asyncio). Создание ETL слоя (Airflow...Опыт использования Python от 2-х лет. Знание базовых алгоритмов и структур данных. Опыт работы с веб-фреймворками для Python. "
Middle data scientist на Рекомендательные системы,https://sergievposad.hh.ru/vacancy/30619878?query=python, Тинькофф,"Построение рекомендательных систем: от формализации бизнес-задачи (вместе с разработчиками, менеджерами) до поддержки модели в проде. Анализ существующих алгоритмов, предложенных...Хорошее знание Python и навык программирования на нем. Отличное знание методов машинного обучения. Отличная математическая подготовка, знание теории вероятностей, математической..."
Тестировщик (QA Engineer),https://sergievposad.hh.ru/vacancy/31530986?query=python, Дестени Продакшн,"Тестировать как по требованиям, так и сами требования. Написание тестовых сценариев. Разработка и развитие инструментов тестирования.Опыт работы с Linux. Опыт работы с любым TestCase Management Solution. Ознакомленность со стеком Python, ReactJS, PostgreSQL, Django, .NET Core."
AWS DevOps Engineer,https://sergievposad.hh.ru/vacancy/31784968?query=python, Akvelon,"Использование инструментов мониторинга (Elastic stack).Опыт разворачивания AWS или других облачных сервисов. Отличное знание Linux. Знание скриптовых языков (Python, Ruby, Powershell, BASH). Знание английского, достаточного..."
Data Scientist,https://sergievposad.hh.ru/vacancy/27924626?query=python, Неофлекс,"Моделирование кривых вероятности дефолта (PiT PD) для проектов IFRS 9 в зарубежных банках. Применение алгоритмов машинного обучения для решения бизнес...Опыт построения статистических и ML моделей. Опыт моделирования в R и/или Python. Владение классическими алгоритмами ML (регрессии, Random Forest..."
Python Team Lead,https://sergievposad.hh.ru/vacancy/31591812?query=python,ООО Лэндинг Солюшн Групп,"Разработка backend части web-приложения, API, интеграция с внешними API, платежными шлюзами, банками. Написание тестов. Оценка трудозатрат. Рефакторинг кода. Принцип работы Docker. Знание шаблонов проектирования. Опыт работы с nix-системами. Понимание принципов TDD. Опыт коммерческой разработки на Django/Flask..."
Инженер по тестированию ПО / QA Engineer,https://sergievposad.hh.ru/vacancy/29812187?query=python, NetworkOptix,"Научиться работать с инструментарием разработчика: Mercurial (update, rollback, revision history, commit, merge, push, create/close branch). Python (выполнение скриптов). Опыт работы тестировщиком хотя бы год. Знание теории тестирования на уровне ISTQB - Foundation Level (сертификат не обязателен). Если у вас..."
Java-разработчик,https://sergievposad.hh.ru/vacancy/31530528?query=python, Ассоциация ФинТех,"Разработка приложений Java. Поддержка существующих приложений на платформе. Ведение командной разработки. Участие в принятии архитектурных и технических решений в платформе...Желательно: Способность использовать код на Go, Node.js, Python. Умение отличить децентрализованную систему от распределённой. Опыт работы по итеративной и каскадной..."
"Mid/Sr Python Developer, Betmaster (relocation)",https://sergievposad.hh.ru/vacancy/31873540?query=python, Anchous Drive Recruitment,"Полноценное участие в разработке продукта на бекенде: реализация новых фич, добавление интеграций и новых видов спорта, улучшение сервиса. Хороший опыт бекенд разработке на Python и Django. Понимание и опыт работы с SQL БД, идеально — PostgreSQL. Умеешь применять асинхронные..."
Backend developer (Python),https://sergievposad.hh.ru/vacancy/30727324?query=python, OMD OM Group,"Команда OMD OM Group решает самые различные задачи, в которые входит исследование рекламного рынка, проработка стратегии и тактики размещения, закупка...SQL. Мы много используем PostgreSQL, и его глубокое знание будет большим плюсом. Принципы построения сервисно-ориентированной архитектуры и веб-приложений. "
Team lead Python,https://sergievposad.hh.ru/vacancy/30916009?query=python, TalentTech,Организацией работы команды разработки. Проектированием архитектурных решений. Разработкой новых и поддержкой существующих сервисов компании. Участвовать в разработке архитектуры продуктов. Опыт управления проектом в качестве team lead. Владение языком Python на уровне не ниже middle. Способность работать как в команде...
Computer Vision/ML Engineer,https://sergievposad.hh.ru/vacancy/31558015?query=python, Tevian (ООО Технологии видеоанализа),"Распознавание лиц – детектор лиц, оценка свойств лиц (повороты, качество и т.д.) и идентификация лиц. Медицина – поиск патологий на изображениях...Язык программирования - Python. Знакомство с базовыми архитектурами для задач классификации: ResNet, MobileNet; детекции: SSD, YOLO, RetinaNet; сегментации: U-Net, DeepLab..."
Стажер Data Scientist & Data Engineer,https://sergievposad.hh.ru/vacancy/31913606?query=python, Сбербанк для экспертов,"попасть на проекты по Data Science по разработке моделей прогнозирования оттока сотрудников, а так же по карьерному продвижению.На этой стажировке, в зависимости от проекта, тебе могут понадобиться такие знания, как: - знание Python (NumPy, SK-Learn, Pandas. - "
Ведущий разработчик асинхронных бэкендов на Python и PostgreSQL / backend-разработчик,https://sergievposad.hh.ru/vacancy/31663012?query=python, ДевХаб,"Для бэкендов используем Python, Asyncio, Django, PostgreSQL, Redis, RabbitMQ и другие инструменты. Предпочитаем микросервисную архитектуру. Документацию по API храним в...Асинхронная и микросервисная архитектура. Требования к профессиональным навыкам: Отличное владение Python 3. Уверенный опыт работы с асинхронными фреймворками на любом..."
QA engineer - Bright,https://sergievposad.hh.ru/vacancy/31888627?query=python, Deutsche Bank Technology Center,"GUI на Angular. Доступ к данным осуществляется через HTTP, Excel, Python. Внутри банка приложение взаимодействует с множеством других приложений для...Знания и практический опыт в области автоматизации тестов от трех лет. Хорошие знания и практический опыт работы с Java. "
Разработчик бизнес-решений (NET C#),https://sergievposad.hh.ru/vacancy/31562616?query=python, DIRECTUM,"Проектированием и разработкой новых бизнес-модулей облачной СЭД DirectumRX. Развитием и оптимизацией работы текущих модулей системы. Разработкой и развитием коннекторов...Опыт разработки на C#, либо на С/С++/Delphi/другом языке и представление о .NET. Опыт работы с реляционными СУБД. "
Senior PHP Developer,https://sergievposad.hh.ru/vacancy/31293502?query=python, YCLIENTS LLC,"Писать качественный, легко поддерживаемый и тестируемый код в команде опытных разработчиков. Писать тесты на него. Проводить code-review вместе с...Разбираетесь во фронте - Vanilla JS или популярные фреймворки (Angular, React, Vue). Знаете Python 3. Не останавливаетесь в личностном и профессиональном..."
Middle data scientist на Диалоговые системы,https://sergievposad.hh.ru/vacancy/30619884?query=python, Тинькофф,"Разработка решений классификации/ранжирования пользовательских намерений. Исследование и разработка новых подходов к решению задач естественного языка с использованием нейронных сетей.Имеете отличную математическую подготовку, знаете теорию вероятностей и математическую статистику. Уверенно пишете на Python. Хорошо знаете tensorflow/pytorch. "
ML Engineer/Data scientist,https://sergievposad.hh.ru/vacancy/31464979?query=python, Samsung Research Center,"Apply data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights. Experience with common Data Scientist toolkits: PyData stack (Python, pandas, sci-kit learn), Tensorflow, Caffe, Caffe2, Keras, PyTorch. "
Backend-разработчик,https://sergievposad.hh.ru/vacancy/31626955?query=python,ООО Б152,Разработка backend сервисов компании в области веб-безопасности и Privacy. Развитие архитектуры высоконагруженноых сервисов. Разработка технологий по обнаружению угроз безопасности...Опыт интеграции с внешними сервисами. Хорошее знание Python (middle level). Знакомство с концепциями информационной безопасности. Опыт работы с облачными сервисами...
Тестировщик ПО,https://sergievposad.hh.ru/vacancy/31395882?query=python,ООО Верме,Разработка и поддержка автоматизированных тестов для web-приложений. Участие в регрессионном тестировании. Анализ документации. Настройка и поддержка тестовых сред. Желание развиваться в направлении автоматизации тестирования. Навыки программирования на языке Python. Опыт автоматизированного тестирования (Cucumber + Junit). Опыт работы с...
Devops engineer,https://sergievposad.hh.ru/vacancy/31879502?query=python,ООО СофтПро,"Softpro — поставщик программного обеспечения для букмекерских контор, работающих в премиальном сегменте. Основной продукт — платформа автоматизации букмекерской деятельности. Наши клиенты работают...Debian. — Ansible."
Spice Simulator – Verilog-A Developer,https://sergievposad.hh.ru/vacancy/31429770?query=python," Silvaco, Inc","Support and develop Verliog-A format support in our Spice simulation software. Development, maintenance and QA of semiconductor compact models......and capacitors, diodes. Experience with scripting languages, such as Perl or Python. Knowledge of solvers techniques used for circuit simulators."
Team lead Erlang,https://sergievposad.hh.ru/vacancy/31881598?query=python, Платежи Онлайн,"Формирование команды. Проектирование и разработка сервисов, написание тестов, деплой, мониторинг, поддержка. Развитие старых сервисов и их поддержка, иногда утилизация. Опыт написания модульных и интеграционных тестов. Знакомство с протоколом SMPP. Наличие Erlang проектов. Знание других языков, например C, Java, Python..."
Lead Data Scientist,https://sergievposad.hh.ru/vacancy/31431632?query=python, Северсталь. Управляющая компания,Применение алгоритмов машинного обучения для решения поставленных бизнес-задач. Сбор данных из внутренних баз данных и работа с внешними источниками...Тебе нужно уметь: Тебе нужно знать: Теорию вероятности и математическую статистику.
Spice Simulator – Signal Integrity Engineer,https://sergievposad.hh.ru/vacancy/31429254?query=python," Silvaco, Inc","S-parameters processing, conversion and integration with circuit simulator. S-parameters noise models. Equivalent companion schemes for S-parameters. Proficiency in hardware description languages, such as Verilog, SystemVerilog and VHDL. Experience with scripting languages, such as Perl or Python. "
"Ведущий программист (мат. моделирование, CUDA)",https://sergievposad.hh.ru/vacancy/30510148?query=python,ООО Кинтех Лаб,"Разработка программных продуктов для численного моделирования физико-химических процессов. Разработка математических моделей, сопровождение кода.Опыт написания HPC-приложений. Опыт написание скриптов на python, bash. Разработка средств визуализации, рендеринга. Опыт администрирования HPC и Linux систем. "
Junior web developer,https://sergievposad.hh.ru/vacancy/31810520?query=python,ООО Селадо,Высшее образование (можно последний курс) (техический вуз будет преимуществом). Английский на уровне чтения профессиональной литературы. Готовность учиться и на работе...
Test Automation Engineer(backend),https://sergievposad.hh.ru/vacancy/31784812?query=python, CQG,"Автоматизация тестирования. Разработка авто-тестов, в т.ч. стресс-тестов. Создание тест-планов по требованиям, техническим спецификациям и другой документации. Знание одного или нескольких скриптовых языков(Python/Shell scripting/ Power Shell). Знание специфики автоматического тестирования серверных приложений. Знание Windows и..."
Senior Data Scientist,https://sergievposad.hh.ru/vacancy/30635071?query=python, Сбербанк для руководителей,"Модели скоринга и принятия решений - классический ML на python SciKit-Learn и XGBoost. * Анализ транзакционных данных и модели на них...Опыт работы в ML от 2 лет, в том числе с Deep Learning задачами. * Хороший английский, готовность прокопать свежие статьи..."
Senior Data Scientist,https://sergievposad.hh.ru/vacancy/31427619?query=python, Сбербанк для руководителей,"Исследование бизнес-процессов заказчика на предмет дополнения модельными подходами при принятии решений. Разработка модели на основании готовой математической задачи. Навыки работы в специализированном ПО для анализа больших массивов данных. Владение языками программирования, в т.ч. специализированными (SQL, Python, R..."
Разработчик Golang/Python (Kaspersky Anti-Cheat),https://sergievposad.hh.ru/vacancy/31427537?query=python, Лаборатория Касперского,"Разработка сервисов на Golang и, иногда, Python. Проектирование архитектуры подсистем. Проектирование и реализация API. Создание действительно качественного кода (производительность, тесты...Опыт серверной разработки от 3 лет. Опыт разработки на Golang от 1 года. Хорошие знания структур данных и алгоритмов. "
Аналитик Big Data (Data Scientist),https://sergievposad.hh.ru/vacancy/20744529?query=python, Медиагруппа «Актион-МЦФЭР»,"Организация сбора и обработки данных из различных источников. Исследование данных методами математической статистики, Machine Learning и Data Mining. Предиктивное моделирование. Опыт работы в SAS Enterprise Miner или аналогичных продуктах. Знание SQL (сложные запросы). Владение R или Python. Опыт работы с..."
Malware Analyst/Reverse Engineer (Аналитик вредоносных программ),https://sergievposad.hh.ru/vacancy/31390863?query=python,ООО Аврора Бесконечность,1. Virus or Trojan event handling. 2. Malicious code analysis and research. 3. Participate in binary projects in CTF competitions. 3. Capable of Python scripting to automate analysis and reverse engineering tasks. 4. Strong knowledge of tools used for malware...
Младший специалист по тестированию ПО,https://sergievposad.hh.ru/vacancy/31635244?query=python, ИТЕРАНЕТ,"Изучение основ тестирования под руководством наставника самостоятельно и с помощью коллег. Проведение ручного, функционального тестирования ПО (примерно 70% рабочего времени). Опыт разработки на скриптовых ЯП (предпочтительно Python или Java). Владение Bash/Windows PowerShell/Cmd.exe. Понимание основных сетевых протоколов. "
PHP-разработчик,https://sergievposad.hh.ru/vacancy/31881222?query=python, Веб-Мост,"Основной продукт нашей компании — ЭлЖур, электронный журнал для школ, детских садов, а также колледжей и даже институтов. Наша система помогает...Опыт разработки на PHP. Понимание принципов SOLID, KISS, DRY. Опыт работы с реляционными СУБД, в частности MySQL. Уверенное знание протокола..."
Data Scientist,https://sergievposad.hh.ru/vacancy/31439575?query=python,ООО Доктор рядом,"Чат-бот (сбор анамнеза, предварительная диагностика). Модели оценки рисков здоровью (самостоятельно и с партнерами - РАН, научные и медицинские учреждения). Знания и опыт в Data Science (классический ML, NLP). Python (pandas, sklearn, nltk)."
Специалист по машинному обучению,https://sergievposad.hh.ru/vacancy/31634695?query=python,ООО INTEGER,"Разработка алгоритмов анализа машинных данных, накапливаемых нашей системой управления зданием. Непосредственное участие в работе команды разработчиков для интеграции ML в...Отличное знание Python и Java. Опыт работы с одним из open source фреймворков для разработки решений с машинным обучением. "
Data Scientist,https://sergievposad.hh.ru/vacancy/31476185?query=python, Сбербанк для экспертов,Построение моделей (полный цикл: от проведения статистического анализа с целью отбора ключевых факторов до определения итоговой структуры модели) и разработка...Управленческий опыт работы от 1 года. Уверенные навыки работы с Python. Опыт работы с базами данных (SQL/ Teradata /MS SQL...
Data Scientist,https://sergievposad.hh.ru/vacancy/29409154?query=python,ООО Зетта Страхование,"Создание и поддержание моделей машинного обучения на регулярной основе. Имплементация моделей в текущие процессы компании, включая взаимодействие с IT, постановку...Обязателен опыт работы с Python / R / SAS miner etc., опыт программирования (SQL, VBA, C/C++ и т.п.). "
Data Scientist,https://sergievposad.hh.ru/vacancy/31835133?query=python," Компания «СПОРТМАСТЕР», Управление бизнесами","Специалист по анализу данных и машинному обучению (Data Scientist). Наша профессиональная команда Sportmaster Lab занимается созданием моделей ML (прогнозирование спроса......или другими реляционными СУБД, с возможностью перехода на Oracle. Знание Python (приветствуется знание R). Приветствуется использование data.table, dplyr, numpy, scipy..."
Data scientist,https://sergievposad.hh.ru/vacancy/27292036?query=python, oneFactor,"Разработка алгоритмов машинного обучения для различных индустрий. Обработка уникальных массивов данных из разных секторов экономики (телеком, финансы, ритейл, horeca, транспорт......работы с соответствующими библиотеками (TensorFlow, Theano, Keras). Владение языками программирования (R, Python). Понимание принципов машинного обучения, байесовских методов, прикладной статистики."
Инженер по машинному обучению (Junior/Middle),https://sergievposad.hh.ru/vacancy/31715759?query=python,ООО ИНИТИ,"Участие в подготовке релевантных задаче датасетов. Разработка алгоритмов компьютерного зрения. Разработка моделей машинного обучения. Чтение новых и классических научных статей...Знание основных принципов компьютерного зрения. Опыт работы со стандартным ML/DS-стеком Python: numpy, scipy, scikit-learn, pandas, matplotlib. "
Computer Vision / Data scientist CV,https://sergievposad.hh.ru/vacancy/31511059?query=python,ООО АлгоМост,"Построение моделей для вычисления количественных показателей по изображениям. Построение моделей для детекции и сегментации на медицинских изображениях. Построение моделей диагностики...Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, VowpalWabbit). Хорошие коммуникативные навыки, умение работать..."
Тестировщик ПО (Специалист по автоматическому тестированию),https://sergievposad.hh.ru/vacancy/31625914?query=python, MedPoint24,"Заниматься написанием test-case, проводить тестирование, писать модули автоматического тестирования. - Осуществлять интеграцию автоматического тестирования в систему сборки проекта.Понимание принципов: Test-case, автоматическое тестирование, СКВ (git). - Умение проводить ручное тестирование. Будет преимуществом: - Знание Python, Bash, PL/pgsql, JS. - "
Data Science Team Lead,https://sergievposad.hh.ru/vacancy/30821952?query=python, Офисная вакансия Yum! Brands,"...and mentor for effective, deep research. Lead development and maintain coding best practices. Hands on research and implementation, in Python.Knowledge of JAVA, J2EE, JavaScript, JSON, Python, SQL, and PL/SQL a plus. Basic understanding of project lifecycle..."
Data Scientist,https://sergievposad.hh.ru/vacancy/31552816?query=python, Ipsos Comcon,"Разрабатывать алгоритмы анализа неструктурированных данных (публикации из социальных медиа, открытые вопросы анкет, фото и видео контента). Писать скрипты для парсинга...Хороший уровень математической подготовки (теории вероятности и мат.статистики, методов прогнозирования и т.п.). Опытного программиста на Python в сфере анализа..."
DevOps Engineer,https://sergievposad.hh.ru/vacancy/31788511?query=python, inDriver,"Непосредственно управлять всей IT инфраструктурой бэкенда. Планировать эксплуатацию. Обеспечивать бесперебойность, безопасность и быстродействие сервисов. Реагировать на инциденты. Взаимодействовать с командами...Опыт проектирования и ввода в строй системы по повышению производительности и надежности для СУБД. Опыт разработки на Golang, Python."
